"session","created","modified","ended","expired","respondentID","knowledgeFuelGas","knowledgeFuelElec","knowledgeSub","householdVehicles","currentVehType","currentVehTypeOther","parkingHousehold","parkingHouseholdOther","neighborEV","considerPHEV","considerBEV","yearOfBirth","gender","genderOther","ethnicity","ethnicityOther","education","work","housingType","housingTypeOther","housingOwner","housingOwnerOther","householdSize","political","politicalOther","covidEmployment","feedback"
"7WJAuWoTlpO9U4MNkwBQDtdOCEe_qtKoWTBlR3EQ21wmz8KHxBEk83yv6zWEMOPH","2021-10-29 14:32:59","2021-10-29 14:35:14","2021-10-29 14:35:14","","9100","hev","phev","not_sure","2","Gasoline","","driveway","","2","maybe","maybe","1981","female","","white","","hs","not_employed_yes_looking","detached","","rent","","1","moderate","","yes",""
"0aveZq0Tss51arkpeND-S0BPKA8NJbelfVFUMx6pjteoFeGOljdVY2FBh4n_KUhJ","2021-10-29 14:37:06","2021-10-29 14:38:30","2021-10-29 14:38:30","","2974","phev","hev, phev, bev","not_sure","1","Gasoline","","shared_lot","","3","probablyYes","definitelyYes","1987","male","","white","","college_some","employed_under40","apartment","","rent","","2","conservative","","no",""
"qCvnzHZmCLEUY2HbttNeqF-sEufbj85I29SPRfou5fSwjgFVL3QDcUhPRvtfJIHJ","2021-10-29 14:38:30","2021-10-29 14:40:13","2021-10-29 14:40:13","","2218","phev","hev, phev, bev","10000","1","Gasoline","","driveway","","2","maybe","probablyYes","1977","female","","white","","hs","employed_under40","apartment","","rent","","2","moderate","","yes",""
"JxsqO3lylWrGVsOQ9Rx0ojVMcpFVbTZJzntY8x3PQt5RS1E1rTm5otBsJah9JPzZ","2021-10-29 14:40:16","2021-10-29 14:41:30","2021-10-29 14:41:30","","6742","hev","phev","not_sure","1","Gasoline","","street, driveway","","3","probablyYes","maybe","1990","female","","black","","degree_bs","not_employed_yes_looking","detached","","rent","","1","liberal","","yes",""
"39U_ty83kQB4ZZZJY6ANusDLNwMEKslGUFh6ZhriWX3P0rGJ1KcCijArUcYE1R9x","2021-10-29 14:40:35","2021-10-29 14:41:37","2021-10-29 14:41:37","","3811","hev, phev, bev","hev, phev, bev","not_sure","1","Gasoline","","driveway","","3","maybe","maybe","1983","male","","white","","degree_bs","employed_under40","apartment","","rent","","1","moderate","","yes",""
"DnVcx4MO6QA0Q8ysRU4jFOAMwIiPBUnXDn789aEXEtja5F7A17XTN43W7FhpKYX8","2021-10-29 14:41:00","2021-10-29 14:42:36","2021-10-29 14:42:36","","9754","hev, phev","hev, phev, bev","not_sure","2","Gasoline","","shared_garage","","2","definitelyYes","definitelyYes","1961","male","","white","","degree_bs","employed_over40","detached","","own","","2","conservative","","no","Good survey "
"np1Z1sPLuf5pt0Kjj4zcjR5qg4wBQO5cgeN48kpmRx3sC59D0awU6V1xm650Q7oM","2021-10-29 14:41:23","2021-10-29 14:42:49","2021-10-29 14:42:49","","4657","hev","hev","2500","1","Hybrid","","SFH","","3","definitelyYes","maybe","1955","male","","white","","degree_ms","retired","detached","","own","","2","moderate","","no",""
"W4XjPDbyRC06xy2OwVYANwjccpytUJX6vwmlThI_9RXUTGiCae5HvcoYSSMYF46k","2021-10-29 14:41:36","2021-10-29 14:42:50","2021-10-29 14:42:50","","8229","hev, bev","hev","5000","1","Gasoline","","driveway","","2","maybe","maybe","1990","female","","black","","hs","employed_over40","mobile","","rent","","2","moderate","","no",""
"8cYBcMo9XLQUnOptR8JbcdHkVYpJFmCvLfRVcz-zMAisz3ESlYzhKGCmQTVRJnGW","2021-10-29 14:43:07","2021-10-29 14:44:47","2021-10-29 14:44:47","","8710","hev","phev","2500","2","Gasoline","","street, driveway","","2","maybe","probablyYes","1979","female","","white","","hs","disabled","detached","","own","","3","conservative","","no","None"
"Zg-0gzY0hGy5-2CzroQvzhrDYE69FQ8bm7pTVeaC44XQ2rOjXkHwc2UtifgZYvLJ","2021-10-29 14:43:45","2021-10-29 14:44:56","2021-10-29 14:44:56","","3986","hev","hev, phev, bev","not_sure","1","Gasoline","","driveway","","2","probablyNot","probablyNot","1987","female","","white","","college_some","prefer_not_say","detached","","own","","4","very_conservative","","yes",""
