session,id,respondentID,obsID,qID,altID,choice,maxSalestax,type,amount_nonSalesTax,amount_salesTax,timing_taxCredit,timing_rebate,source_rebate
yfWe4HvmWbEPBWMtfpqBZNq8fXYFleb-N8u-IjlF4o5W_gJycgQcDAeZ-VGN09L1,1,1,1,1,1,0,1500,salesTax,2500,0.75,tax_filing,2,government
yfWe4HvmWbEPBWMtfpqBZNq8fXYFleb-N8u-IjlF4o5W_gJycgQcDAeZ-VGN09L1,1,1,1,1,2,0,1500,taxCredit,6500,0.75,tax_filing,2,government
yfWe4HvmWbEPBWMtfpqBZNq8fXYFleb-N8u-IjlF4o5W_gJycgQcDAeZ-VGN09L1,1,1,1,1,3,0,1500,taxDeduction,3000,0.75,tax_filing,2,government
yfWe4HvmWbEPBWMtfpqBZNq8fXYFleb-N8u-IjlF4o5W_gJycgQcDAeZ-VGN09L1,1,1,1,1,4,1,1500,rebate,4000,0.75,tax_filing,2,government
yfWe4HvmWbEPBWMtfpqBZNq8fXYFleb-N8u-IjlF4o5W_gJycgQcDAeZ-VGN09L1,1,1,2,2,1,1,1500,salesTax,1000,1,immediate,2,dealer
yfWe4HvmWbEPBWMtfpqBZNq8fXYFleb-N8u-IjlF4o5W_gJycgQcDAeZ-VGN09L1,1,1,2,2,2,0,1500,taxCredit,1500,1,immediate,2,dealer
yfWe4HvmWbEPBWMtfpqBZNq8fXYFleb-N8u-IjlF4o5W_gJycgQcDAeZ-VGN09L1,1,1,2,2,3,0,1500,taxDeduction,1000,1,immediate,2,dealer
yfWe4HvmWbEPBWMtfpqBZNq8fXYFleb-N8u-IjlF4o5W_gJycgQcDAeZ-VGN09L1,1,1,2,2,4,0,1500,rebate,1000,1,immediate,2,dealer
yfWe4HvmWbEPBWMtfpqBZNq8fXYFleb-N8u-IjlF4o5W_gJycgQcDAeZ-VGN09L1,1,1,3,3,1,0,1500,salesTax,6500,1,tax_filing,0,oem
yfWe4HvmWbEPBWMtfpqBZNq8fXYFleb-N8u-IjlF4o5W_gJycgQcDAeZ-VGN09L1,1,1,3,3,2,0,1500,taxCredit,6000,1,tax_filing,0,oem
