"session","created","modified","ended","expired","psid","ip_address","browser","respondentID","dynata_root","dynata_complete","dynata_screen","dynata_quota","inMarket","zip","income","inMarketscreenout","incomescreenout"
"64JUFZQHtVSePjsG6LkiVrashycRHQcPs8IYzQCCJVtMxZeE7OGwQNGrAOHdiI9T","2021-10-29 14:16:15","2021-10-29 14:16:35","2021-10-29 14:16:35","","85syV5osN2UzumD_LY2yTw**","72.176.59.228","Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","1636","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2UzumD_LY2yTw**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2UzumD_LY2yTw**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2UzumD_LY2yTw**","no_timeline","76502","inc_35to50","0","0"
"ezVjiX3ngP_w0CXHU6Y7TzULK22p0VZcBUoXpCnRZK8IAs5t_xbrgfmiavkpKn_O","2021-10-29 14:16:24","2021-10-29 14:17:04","2021-10-29 14:17:04","","85syV5osN2XwK5zAGklQKw**","174.242.35.117","Mozilla/5.0 (Linux; Android 11; SM-G975U Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.50 Mobile Safari/537.36","8316","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2XwK5zAGklQKw**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2XwK5zAGklQKw**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2XwK5zAGklQKw**","1year","15215","inc_25to35","0","0"
"ZGXTXNUzhbLwJyIJTqm48QGYr78cKKDCMzIuf5t-DL1TuN1rXpNwfVjYKId3Y7sD","2021-10-29 14:16:37","2021-10-29 14:17:16","2021-10-29 14:17:17","","85syV5osN2WP4TK9P7Vh3A**","98.144.168.3","Mozilla/5.0 (Linux; Android 10; SM-G965U Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.50 Mobile Safari/537.36","120","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2WP4TK9P7Vh3A**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2WP4TK9P7Vh3A**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2WP4TK9P7Vh3A**","no_timeline","53154","inc_25to35","0","0"
"bAyhACfU3kVeZTLZOOrOuAVpFu4guifz_PxlECGlyDAVP2xfcWda29TUODdTUcas","2021-10-29 14:20:22","2021-10-29 14:20:47","2021-10-29 14:20:48","","85syV5osN2UAliLarjfaCg**","172.58.231.193","Mozilla/5.0 (Linux; Android 10; motorola one 5G ace Build/QZKS30.Q4-40-95-2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.50 Mobile Safari/537.36","3550","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2UAliLarjfaCg**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2UAliLarjfaCg**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2UAliLarjfaCg**","0-3months","10009","inc_25to35","0","0"
"vCUAfLqqI0wlPdYwoX07Ja5h0Z0BDtyyu0UORx4SCDRPYzusHclFnLCS4rlRN98P","2021-10-29 14:21:18","2021-10-29 14:21:47","2021-10-29 14:21:47","","85syV5osN2XuAOsGOUAlwg**","75.182.243.90","Mozilla/5.0 (Linux; Android 11; SM-A125U Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.50 Mobile Safari/537.36","8391","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2XuAOsGOUAlwg**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2XuAOsGOUAlwg**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2XuAOsGOUAlwg**","0-3months","27030","inc_25to35","0","0"
"HjKsFCSbL1bMZjGMDOVOis7u8RRi6p52Pv84sZHqfwX73Qi49g7YjWRgfB8gi-w2","2021-10-29 14:21:20","","","","85syV5osN2V0PCCw-P-DKQ**","76.250.155.245","Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Mobile/15E148 Safari/604.1","8421","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2V0PCCw-P-DKQ**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2V0PCCw-P-DKQ**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2V0PCCw-P-DKQ**","","","","",""
"zfXf-Nz7XleA0tOGcVh15K9qRylsbUrq4VAuc76WOVvdG6-36OqVdGGOmyWExd54","2021-10-29 14:21:22","2021-10-29 14:21:52","2021-10-29 14:21:52","","85syV5osN2V0PCCw-P-DKQ**","76.250.155.245","Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Mobile/15E148 Safari/604.1","7562","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2V0PCCw-P-DKQ**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2V0PCCw-P-DKQ**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2V0PCCw-P-DKQ**","0-3months","77954","inc_200to250","0","1"
"MnH-80Y75IWFfbEYElCZYmkup4ISW_jx_0jVC78Ozrcy6lXDdaQ4mgpaZj73PHT2","2021-10-29 14:23:40","2021-10-29 14:25:10","2021-10-29 14:25:10","","85syV5osN2VsiBe7vORSiQ**","172.58.109.227","Mozilla/5.0 (Linux; Android 9; SM-A102U Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.159 Mobile Safari/537.36","1049","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2VsiBe7vORSiQ**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2VsiBe7vORSiQ**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2VsiBe7vORSiQ**","1year","78216","inc_25to35","0","0"
"wVMf6YaJ8p392rZaXiop-LxwKoCb9M1HcHuPBqXSbeQSoMgNEl64GKMkI5vOsFaE","2021-10-29 14:23:41","2021-10-29 14:24:03","2021-10-29 14:24:04","","85syV5osN2XUqFqWJ5fJeA**","76.180.146.130","Mozilla/5.0 (iPad; CPU OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1","6953","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2XUqFqWJ5fJeA**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2XUqFqWJ5fJeA**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2XUqFqWJ5fJeA**","not_in_market","14150","inc_50to75","1","1"
"qDQ7up37Ok0jV1zwL6uWbdYq_fkUSe9_BBwUCixcYKeUVvz3pEy32T39i0dn7KPv","2021-10-29 14:24:40","2021-10-29 14:25:25","2021-10-29 14:25:25","","85syV5osN2UdeR1q5sF5VQ**","24.224.114.188","Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","1","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2UdeR1q5sF5VQ**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2UdeR1q5sF5VQ**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2UdeR1q5sF5VQ**","0-3months","28115","under25","0","0"
