respID,qID,altID,type,amount_nonSalesTax,amount_salesTax,timing_taxCredit,timing_rebate,source_rebate,source,respondentID,choice,maxSalestax
462,1,1,rebate,5500,0.5,tax_filing,0,government,raw_survey,NA,NA,NA
NA,1,4,rebate,5500,0.5,tax_filing,0,government,survey_refac,462,NA,NA
NA,1,4,rebate,5500,0.5,tax_filing,0,government,choiceData,462,1,2625
462,1,2,salesTax,5000,0.5,tax_filing,0,government,raw_survey,NA,NA,NA
NA,1,1,salesTax,5000,0.5,tax_filing,0,government,survey_refac,462,NA,NA
NA,1,1,salesTax,5000,0.5,tax_filing,0,government,choiceData,462,0,2625
462,1,3,taxCredit,1500,0.5,tax_filing,0,government,raw_survey,NA,NA,NA
NA,1,2,taxCredit,1500,0.5,tax_filing,0,government,survey_refac,462,NA,NA
NA,1,2,taxCredit,1500,0.5,tax_filing,0,government,choiceData,462,0,2625
462,1,4,taxDeduction,3000,0.5,tax_filing,0,government,raw_survey,NA,NA,NA
NA,1,3,taxDeduction,3000,0.5,tax_filing,0,government,survey_refac,462,NA,NA
NA,1,3,taxDeduction,3000,0.5,tax_filing,0,government,choiceData,462,0,2625
462,2,1,rebate,1000,1,immediate,2,oem,raw_survey,NA,NA,NA
NA,2,4,rebate,1000,1,immediate,2,oem,survey_refac,462,NA,NA
NA,2,4,rebate,1000,1,immediate,2,oem,choiceData,462,0,2625
462,2,2,salesTax,2000,1,immediate,2,oem,raw_survey,NA,NA,NA
NA,2,1,salesTax,2000,1,immediate,2,oem,survey_refac,462,NA,NA
NA,2,1,salesTax,2000,1,immediate,2,oem,choiceData,462,0,2625
462,2,3,taxCredit,1000,1,immediate,2,oem,raw_survey,NA,NA,NA
NA,2,2,taxCredit,1000,1,immediate,2,oem,survey_refac,462,NA,NA
NA,2,2,taxCredit,1000,1,immediate,2,oem,choiceData,462,0,2625
462,2,4,taxDeduction,1500,1,immediate,2,oem,raw_survey,NA,NA,NA
NA,2,3,taxDeduction,1500,1,immediate,2,oem,survey_refac,462,NA,NA
NA,2,3,taxDeduction,1500,1,immediate,2,oem,choiceData,462,1,2625
