"session","created","modified","ended","expired","psid","ip_address","browser","respondentNumber","dynata_root","dynata_complete","dynata_screen","dynata_quota","inMarket","zip","inMarketscreenout"
"jy5FqLzHDETfZZpmxgJfLcnE_cqIc_9NUpjmMU4q27C4rbYD2S08gPsZUcoS8ekx","2021-08-18 00:06:39","2021-08-18 00:07:01","2021-08-18 00:07:01","","FQZxCw4glWx3O42jv6XqTw**","99.194.39.231","Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1","443","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWx3O42jv6XqTw**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWx3O42jv6XqTw**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWx3O42jv6XqTw**","0-3months","31313","0"
"lOUFvoJN0N6s6rhIgdjezUCmaQ2Lzu-SohYQtgbmeUAYZE7MRYDoO_oq2lb7Gfn9","2021-08-18 00:07:40","2021-08-18 00:07:52","2021-08-18 00:07:53","","FQZxCw4glWyX0a3GbX4-Zw**","67.170.235.124","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36","445","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWyX0a3GbX4-Zw**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWyX0a3GbX4-Zw**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWyX0a3GbX4-Zw**","not_in_market","94131","1"
"b_PgW1a2fFm9bvcCpvDLR35DYW-sHohrQQOcj45y3of0Yb1wuCzC8bIqcpeHV83Y","2021-08-18 00:08:43","2021-08-18 00:09:24","2021-08-18 00:09:24","","FQZxCw4glWxuHis2yHTD2A**","97.127.36.149","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","446","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWxuHis2yHTD2A**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWxuHis2yHTD2A**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWxuHis2yHTD2A**","not_in_market","55038","1"
"sDcSbEilMLKeVjf-b-bzexq_WhvYUVVQevI_xn8zijKUZbvWaXq3geyZkdw8LOz_","2021-08-18 00:10:45","","","","FQZxCw4glWyEq8jVxg2vjg**","172.58.99.72","Mozilla/5.0 (Linux; Android 10; U325AC Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.131 Mobile Safari/537.36","454","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWyEq8jVxg2vjg**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWyEq8jVxg2vjg**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWyEq8jVxg2vjg**","","",""
"ioL_8qk7BoA9fBTUSq6Z_kP9nEHN39-c6zc19s2_H2Vy32_PlBrSRGELW2x6wED-","2021-08-18 00:10:45","","","","FQZxCw4glWy1sghaWQtxQg**","52.38.89.141","Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1","454","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWy1sghaWQtxQg**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWy1sghaWQtxQg**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWy1sghaWQtxQg**","","",""
"jo4rFpRUzfdyEozfITRZpXOfmZy8KQX1AqR9jpKhYbCnelQAMbxKxoTk2h5Pdpie","2021-08-18 00:10:45","","","","FQZxCw4glWyEq8jVxg2vjg**","172.58.99.72","Mozilla/5.0 (Linux; Android 10; U325AC Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.131 Mobile Safari/537.36","454","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWyEq8jVxg2vjg**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWyEq8jVxg2vjg**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWyEq8jVxg2vjg**","","",""
"4rzQ-_LtzkYmO3Vm_KsBC-mYMUDfIMPuahQFb-Wh5PpuBCJOIi1ZIEqO2eVO9Ubz","2021-08-18 00:10:45","","","","FQZxCw4glWy1sghaWQtxQg**","52.40.201.106","Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1","454","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWy1sghaWQtxQg**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWy1sghaWQtxQg**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWy1sghaWQtxQg**","","",""
"3zJP5sFS9FYXVGoXXQYr4GZWYQXq_4szXT2nqld5rqyNvhIDDnPdPDsdUBZlB5cT","2021-08-18 00:10:45","","","","FQZxCw4glWyEq8jVxg2vjg**","172.58.99.72","Mozilla/5.0 (Linux; Android 10; U325AC Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.131 Mobile Safari/537.36","454","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWyEq8jVxg2vjg**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWyEq8jVxg2vjg**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWyEq8jVxg2vjg**","","",""
"OIvtXd_pdYuf2iIWez08NmAirfV9jGMwjGWvsiLrZ50YUp8CAUa7DUfq819H66O1","2021-08-18 00:11:15","","","","FQZxCw4glWy1sghaWQtxQg**","52.38.89.141","Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1","460","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWy1sghaWQtxQg**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWy1sghaWQtxQg**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWy1sghaWQtxQg**","","",""
"1tHl2LiOUqsf6Dou0XM8KBDYG6Sg2uG5WKsyU1H0VYAtqItnN5x_jEhRk5ZMRc0r","2021-08-18 00:11:15","","","","FQZxCw4glWy1sghaWQtxQg**","52.40.201.106","Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1","460","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWy1sghaWQtxQg**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWy1sghaWQtxQg**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWy1sghaWQtxQg**","","",""
