id,respondentID,obsID,qID,altID,choice,maxSalestax,type,amount_nonSalesTax,amount_salesTax,timing_taxCredit,timing_rebate,source_rebate
1,40,1,1,1,0,3750,salesTax,5000,0.75,tax_filing,6,government
1,40,1,1,2,1,3750,taxCredit,3500,0.75,tax_filing,6,government
1,40,1,1,3,0,3750,taxDeduction,4000,0.75,tax_filing,6,government
1,40,1,1,4,0,3750,rebate,4000,0.75,tax_filing,6,government
1,40,2,2,1,0,3750,salesTax,2000,1,immediate,6,government
1,40,2,2,2,1,3750,taxCredit,2000,1,immediate,6,government
1,40,2,2,3,0,3750,taxDeduction,1000,1,immediate,6,government
1,40,2,2,4,0,3750,rebate,2000,1,immediate,6,government
1,40,3,3,1,0,3750,salesTax,8000,0.75,immediate,2,government
1,40,3,3,2,0,3750,taxCredit,3500,0.75,immediate,2,government
1,40,3,3,3,0,3750,taxDeduction,4500,0.75,immediate,2,government
1,40,3,3,4,1,3750,rebate,6500,0.75,immediate,2,government
1,40,4,4,1,0,3750,salesTax,4500,1,immediate,6,dealer
1,40,4,4,2,0,3750,taxCredit,2500,1,immediate,6,dealer
1,40,4,4,3,0,3750,taxDeduction,7000,1,immediate,6,dealer
1,40,4,4,4,1,3750,rebate,6000,1,immediate,6,dealer
1,40,5,5,1,0,3750,salesTax,1000,1,immediate,2,government
1,40,5,5,2,0,3750,taxCredit,1000,1,immediate,2,government
1,40,5,5,3,0,3750,taxDeduction,1000,1,immediate,2,government
1,40,5,5,4,1,3750,rebate,1500,1,immediate,2,government
1,40,6,6,1,0,3750,salesTax,6000,0.75,immediate,6,government
1,40,6,6,2,1,3750,taxCredit,7500,0.75,immediate,6,government
1,40,6,6,3,0,3750,taxDeduction,5000,0.75,immediate,6,government
1,40,6,6,4,0,3750,rebate,4500,0.75,immediate,6,government
1,40,7,7,1,0,3750,salesTax,2000,0.5,immediate,6,dealer
1,40,7,7,2,0,3750,taxCredit,1000,0.5,immediate,6,dealer
