id,respondentID,obsID,qID,altID,choice,maxSalestax,type,amount_nonSalesTax,amount_salesTax,timing_taxCredit,timing_rebate,source_rebate
1,462,1,1,1,0,2625,salesTax,5000,0.5,tax_filing,0,government
1,462,1,1,2,0,2625,taxCredit,1500,0.5,tax_filing,0,government
1,462,1,1,3,0,2625,taxDeduction,3000,0.5,tax_filing,0,government
1,462,1,1,4,1,2625,rebate,5500,0.5,tax_filing,0,government
1,462,2,2,1,0,2625,salesTax,2000,1,immediate,2,oem
1,462,2,2,2,0,2625,taxCredit,1000,1,immediate,2,oem
1,462,2,2,3,1,2625,taxDeduction,1500,1,immediate,2,oem
1,462,2,2,4,0,2625,rebate,1000,1,immediate,2,oem
1,462,3,3,1,0,2625,salesTax,5500,0.5,tax_filing,0,dealer
1,462,3,3,2,0,2625,taxCredit,7500,0.5,tax_filing,0,dealer
1,462,3,3,3,0,2625,taxDeduction,2500,0.5,tax_filing,0,dealer
1,462,3,3,4,1,2625,rebate,6000,0.5,tax_filing,0,dealer
1,462,4,4,1,0,2625,salesTax,7500,0.5,tax_filing,0,dealer
1,462,4,4,2,0,2625,taxCredit,1000,0.5,tax_filing,0,dealer
1,462,4,4,3,1,2625,taxDeduction,7500,0.5,tax_filing,0,dealer
1,462,4,4,4,0,2625,rebate,1000,0.5,tax_filing,0,dealer
1,462,5,5,1,0,2625,salesTax,2000,1,tax_filing,6,oem
1,462,5,5,2,0,2625,taxCredit,1500,1,tax_filing,6,oem
1,462,5,5,3,0,2625,taxDeduction,2000,1,tax_filing,6,oem
1,462,5,5,4,1,2625,rebate,2000,1,tax_filing,6,oem
1,462,6,6,1,0,2625,salesTax,7000,0.5,immediate,0,oem
1,462,6,6,2,0,2625,taxCredit,6500,0.5,immediate,0,oem
1,462,6,6,3,1,2625,taxDeduction,4500,0.5,immediate,0,oem
1,462,6,6,4,0,2625,rebate,2500,0.5,immediate,0,oem
1,462,7,7,1,0,2625,salesTax,2000,0.75,immediate,0,dealer
1,462,7,7,2,0,2625,taxCredit,8000,0.75,immediate,0,dealer
1,462,7,7,3,0,2625,taxDeduction,4000,0.75,immediate,0,dealer
1,462,7,7,4,1,2625,rebate,8000,0.75,immediate,0,dealer
1,462,8,8,1,0,2625,salesTax,1500,1,immediate,2,government
1,462,8,8,2,0,2625,taxCredit,1000,1,immediate,2,government
1,462,8,8,3,0,2625,taxDeduction,2000,1,immediate,2,government
1,462,8,8,4,1,2625,rebate,2000,1,immediate,2,government
1,462,9,9,1,0,2625,salesTax,4500,0.5,tax_filing,6,oem
1,462,9,9,2,0,2625,taxCredit,5500,0.5,tax_filing,6,oem
1,462,9,9,3,0,2625,taxDeduction,5500,0.5,tax_filing,6,oem
1,462,9,9,4,1,2625,rebate,5500,0.5,tax_filing,6,oem
1,462,10,10,1,0,2625,salesTax,2000,0.75,immediate,2,government
1,462,10,10,2,1,2625,taxCredit,5500,0.75,immediate,2,government
1,462,10,10,3,0,2625,taxDeduction,5000,0.75,immediate,2,government
1,462,10,10,4,0,2625,rebate,1500,0.75,immediate,2,government
2,474,11,1,1,0,2625,salesTax,6500,0.5,tax_filing,2,dealer
2,474,11,1,2,0,2625,taxCredit,5500,0.5,tax_filing,2,dealer
2,474,11,1,3,0,2625,taxDeduction,4500,0.5,tax_filing,2,dealer
2,474,11,1,4,1,2625,rebate,8000,0.5,tax_filing,2,dealer
2,474,12,2,1,1,2625,salesTax,1000,1,tax_filing,6,oem
2,474,12,2,2,0,2625,taxCredit,2000,1,tax_filing,6,oem
2,474,12,2,3,0,2625,taxDeduction,2000,1,tax_filing,6,oem
2,474,12,2,4,0,2625,rebate,1500,1,tax_filing,6,oem
2,474,13,3,1,0,2625,salesTax,4000,0.75,tax_filing,0,dealer
2,474,13,3,2,0,2625,taxCredit,1500,0.75,tax_filing,0,dealer
2,474,13,3,3,1,2625,taxDeduction,8000,0.75,tax_filing,0,dealer
2,474,13,3,4,0,2625,rebate,2500,0.75,tax_filing,0,dealer
2,474,14,4,1,0,2625,salesTax,2000,0.75,immediate,6,government
2,474,14,4,2,1,2625,taxCredit,8000,0.75,immediate,6,government
2,474,14,4,3,0,2625,taxDeduction,4500,0.75,immediate,6,government
2,474,14,4,4,0,2625,rebate,4000,0.75,immediate,6,government
2,474,15,5,1,1,2625,salesTax,2000,1,tax_filing,2,oem
2,474,15,5,2,0,2625,taxCredit,1000,1,tax_filing,2,oem
2,474,15,5,3,0,2625,taxDeduction,1500,1,tax_filing,2,oem
2,474,15,5,4,0,2625,rebate,2000,1,tax_filing,2,oem
2,474,16,6,1,0,2625,salesTax,2500,0.75,tax_filing,0,oem
2,474,16,6,2,0,2625,taxCredit,3000,0.75,tax_filing,0,oem
2,474,16,6,3,0,2625,taxDeduction,2500,0.75,tax_filing,0,oem
2,474,16,6,4,1,2625,rebate,5000,0.75,tax_filing,0,oem
2,474,17,7,1,1,2625,salesTax,7000,1,tax_filing,2,oem
2,474,17,7,2,0,2625,taxCredit,7000,1,tax_filing,2,oem
2,474,17,7,3,0,2625,taxDeduction,3500,1,tax_filing,2,oem
2,474,17,7,4,0,2625,rebate,3000,1,tax_filing,2,oem
2,474,18,8,1,1,2625,salesTax,2000,1,tax_filing,6,dealer
2,474,18,8,2,0,2625,taxCredit,2000,1,tax_filing,6,dealer
2,474,18,8,3,0,2625,taxDeduction,2000,1,tax_filing,6,dealer
2,474,18,8,4,0,2625,rebate,1000,1,tax_filing,6,dealer
2,474,19,9,1,0,2625,salesTax,3500,1,immediate,0,dealer
2,474,19,9,2,1,2625,taxCredit,6500,1,immediate,0,dealer
2,474,19,9,3,0,2625,taxDeduction,3500,1,immediate,0,dealer
2,474,19,9,4,0,2625,rebate,3000,1,immediate,0,dealer
2,474,20,10,1,0,2625,salesTax,2500,1,tax_filing,6,oem
2,474,20,10,2,0,2625,taxCredit,8000,1,tax_filing,6,oem
2,474,20,10,3,0,2625,taxDeduction,6000,1,tax_filing,6,oem
2,474,20,10,4,1,2625,rebate,5500,1,tax_filing,6,oem
3,494,21,1,1,0,2250,salesTax,7500,0.5,tax_filing,2,dealer
3,494,21,1,2,1,2250,taxCredit,6000,0.5,tax_filing,2,dealer
3,494,21,1,3,0,2250,taxDeduction,3500,0.5,tax_filing,2,dealer
3,494,21,1,4,0,2250,rebate,1500,0.5,tax_filing,2,dealer
3,494,22,2,1,0,2250,salesTax,1000,1,immediate,6,oem
3,494,22,2,2,0,2250,taxCredit,1000,1,immediate,6,oem
3,494,22,2,3,0,2250,taxDeduction,1000,1,immediate,6,oem
3,494,22,2,4,1,2250,rebate,1500,1,immediate,6,oem
3,494,23,3,1,0,2250,salesTax,2000,0.75,tax_filing,0,oem
3,494,23,3,2,1,2250,taxCredit,3500,0.75,tax_filing,0,oem
3,494,23,3,3,0,2250,taxDeduction,4500,0.75,tax_filing,0,oem
3,494,23,3,4,0,2250,rebate,5000,0.75,tax_filing,0,oem
3,494,24,4,1,0,2250,salesTax,1000,0.75,tax_filing,2,oem
3,494,24,4,2,1,2250,taxCredit,3500,0.75,tax_filing,2,oem
3,494,24,4,3,0,2250,taxDeduction,1500,0.75,tax_filing,2,oem
3,494,24,4,4,0,2250,rebate,2000,0.75,tax_filing,2,oem
3,494,25,5,1,1,2250,salesTax,1000,1,immediate,0,oem
3,494,25,5,2,0,2250,taxCredit,2000,1,immediate,0,oem
3,494,25,5,3,0,2250,taxDeduction,2000,1,immediate,0,oem
3,494,25,5,4,0,2250,rebate,1000,1,immediate,0,oem
3,494,26,6,1,0,2250,salesTax,4500,1,immediate,6,dealer
3,494,26,6,2,1,2250,taxCredit,7500,1,immediate,6,dealer
3,494,26,6,3,0,2250,taxDeduction,3500,1,immediate,6,dealer
3,494,26,6,4,0,2250,rebate,5000,1,immediate,6,dealer
3,494,27,7,1,0,2250,salesTax,3500,1,tax_filing,2,oem
3,494,27,7,2,0,2250,taxCredit,5500,1,tax_filing,2,oem
