mean,lower,upper,par,type,timing,source
0,0,0,type_rebate_0wks_govt,Rebate,0wks,govt
45.667363240737146,-96.46316952566819,188.8118256918044,type_rebate_0wks_oem,Rebate,0wks,oem
-35.2393491058105,-179.2896201302312,107.92884439384441,type_rebate_0wks_dealer,Rebate,0wks,dealer
-50.99859320924602,-194.4883105233074,93.2476378661633,type_rebate_2wks_govt,Rebate,2wks,govt
-5.331229968508875,-206.92880585889952,193.90261380535856,type_rebate_2wks_oem,Rebate,2wks,oem
-86.23794231505651,-285.3102284496034,114.7560984226113,type_rebate_2wks_dealer,Rebate,2wks,dealer
-281.0560185440769,-427.6773184745155,-133.0949662425446,type_rebate_6wks_govt,Rebate,6wks,govt
-235.38865530333973,-442.4990855398281,-29.08330322010511,type_rebate_6wks_oem,Rebate,6wks,oem
-316.2953676498874,-523.3789240079251,-111.6526413808492,type_rebate_6wks_dealer,Rebate,6wks,dealer
-504.7595177967399,-644.964586612159,-362.4884080656725,type_salesTax,Sales Tax,0wks,0
-868.0519794806729,-1022.1446948792008,-714.6097305369973,type_taxCredit_immediate,Tax Credit,0wks,0
-1248.3221204692843,-1402.1146960567517,-1093.0806768585844,type_taxCredit_taxFiling,Tax Credit,1,0
-2587.242407242471,-2736.383238377495,-2435.7096788309855,type_taxDeduction,"Tax
Deduction",1,0
