"session","created","modified","ended","expired","psid","respondentID","maxSalestax","doePath","doe","salesTaxpath","n1_1type","n1_1amount","n1_2type","n1_2amount","n1_2timing","n1_2timing2","n1_3type","n1_3amount","n1_4type","n1_4amount","n1_4timing","n1_4from","n2_1type","n2_1amount","n2_2type","n2_2amount","n2_2timing","n2_2timing2","n2_3type","n2_3amount","n2_4type","n2_4amount","n2_4timing","n2_4from","n3_1type","n3_1amount","n3_2type","n3_2amount","n3_2timing","n3_2timing2","n3_3type","n3_3amount","n3_4type","n3_4amount","n3_4timing","n3_4from","n4_1type","n4_1amount","n4_2type","n4_2amount","n4_2timing","n4_2timing2","n4_3type","n4_3amount","n4_4type","n4_4amount","n4_4timing","n4_4from","n5_1type","n5_1amount","n5_2type","n5_2amount","n5_2timing","n5_2timing2","n5_3type","n5_3amount","n5_4type","n5_4amount","n5_4timing","n5_4from","n6_1type","n6_1amount","n6_2type","n6_2amount","n6_2timing","n6_2timing2","n6_3type","n6_3amount","n6_4type","n6_4amount","n6_4timing","n6_4from","n7_1type","n7_1amount","n7_2type","n7_2amount","n7_2timing","n7_2timing2","n7_3type","n7_3amount","n7_4type","n7_4amount","n7_4timing","n7_4from","n8_1type","n8_1amount","n8_2type","n8_2amount","n8_2timing","n8_2timing2","n8_3type","n8_3amount","n8_4type","n8_4amount","n8_4timing","n8_4from","n9_1type","n9_1amount","n9_2type","n9_2amount","n9_2timing","n9_2timing2","n9_3type","n9_3amount","n9_4type","n9_4amount","n9_4timing","n9_4from","n10_1type","n10_1amount","n10_2type","n10_2amount","n10_2timing","n10_2timing2","n10_3type","n10_3amount","n10_4type","n10_4amount","n10_4timing","n10_4from","n1_1amount_label","n2_1amount_label","n3_1amount_label","n4_1amount_label","n5_1amount_label","n6_1amount_label","n7_1amount_label","n8_1amount_label","n9_1amount_label","n10_1amount_label","systime_cbc1_start","cbc1","systime_cbc1_end","cbc2","systime_cbc2_end","cbc3","systime_cbc3_end","cbc4","systime_cbc4_end","cbc5","systime_cbc5_end","cbc6","systime_cbc6_end","cbc7","systime_cbc7_end","cbc8","systime_cbc8_end","cbc9","systime_cbc9_end","cbc10","systime_cbc10_end","cbcSummary","cbcAllSame"
"TasiC3n2r8hWzbTjnJ7Bnghq0-y6DI1RwegtR2AHesH2kc22fVSnaw6RFu8UhN-z","2021-08-23 18:59:43","2021-08-23 19:00:58","2021-08-23 19:00:59","","FQZxCw4glWz2z2bU68F4OA**","1548","3000","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","1","Tax Credit","$3,000","Time of Sale","","Tax Deduction","$6,500","Rebate","$1,500","2 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$1,500","Time of Sale","","Tax Deduction","$2,000","Rebate","$1,000","Time of Sale","Dealer","Sales Tax Exemption","0.75","Tax Credit","$7,500","Time of Sale","","Tax Deduction","$1,000","Rebate","$1,500","Time of Sale","Auto Manufacturer","Sales Tax Exemption","0.5","Tax Credit","$8,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$5,000","Rebate","$5,000","2 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$2,000","Rebate","$1,500","6 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$5,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$2,500","Rebate","$7,000","Time of Sale","Dealer","Sales Tax Exemption","0.5","Tax Credit","$8,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$5,500","Rebate","$6,000","2 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$1,000","Rebate","$1,500","Time of Sale","Government","Sales Tax Exemption","0.5","Tax Credit","$6,500","Time of Sale","","Tax Deduction","$6,500","Rebate","$4,000","Time of Sale","Auto Manufacturer","Sales Tax Exemption","0.5","Tax Credit","$7,000","Time of Sale","","Tax Deduction","$8,000","Rebate","$6,000","2 weeks after purchase","Auto Manufacturer","3,000","3,000","2,200","1,500","3,000","1,500","1,500","3,000","1,500","1,500","2021-08-23 18:59:52","3","2021-08-23 19:00:00","1","2021-08-23 19:00:11","2","2021-08-23 19:00:16","2","2021-08-23 19:00:20","1","2021-08-23 19:00:25","4","2021-08-23 19:00:32","2","2021-08-23 19:00:43","1","2021-08-23 19:00:47","2","2021-08-23 19:00:53","3","2021-08-23 19:00:59","Array","0"
"WrbJbrvkxxfCSXs_-8AWmkDtpe6Yshgh0o-qKdzsdw64MCw78OvgSoa5SzUqaNNt","2021-08-23 19:01:41","2021-08-23 19:03:43","2021-08-23 19:03:43","","FQZxCw4glWzHPAvGIOEFBA**","8733","750","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","0.5","Tax Credit","$7,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$5,500","Rebate","$7,000","6 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$1,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,000","Rebate","$1,500","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","0.5","Tax Credit","$5,500","Time of Sale","","Tax Deduction","$6,000","Rebate","$5,000","6 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$3,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$6,000","Rebate","$4,000","2 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$1,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$2,000","Rebate","$2,000","Time of Sale","Dealer","Sales Tax Exemption","0.5","Tax Credit","$7,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,000","Rebate","$2,500","6 weeks after purchase","Dealer","Sales Tax Exemption","0.75","Tax Credit","$5,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$7,500","Rebate","$1,000","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$2,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$2,000","Rebate","$1,000","2 weeks after purchase","Dealer","Sales Tax Exemption","0.75","Tax Credit","$1,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$4,500","Rebate","$7,000","Time of Sale","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$3,000","Time of Sale","","Tax Deduction","$5,000","Rebate","$6,500","6 weeks after purchase","Government","400","800","400","400","800","400","600","800","600","800","2021-08-23 19:01:47","4","2021-08-23 19:02:10","4","2021-08-23 19:02:17","2","2021-08-23 19:02:39","4","2021-08-23 19:02:49","4","2021-08-23 19:03:00","4","2021-08-23 19:03:11","4","2021-08-23 19:03:19","4","2021-08-23 19:03:28","4","2021-08-23 19:03:34","2","2021-08-23 19:03:43","Array","0"
"25-OUWjn-p7kDIG3EQYGAngrwXyo8tu5wXmyYOpfTFNV5dg83-ZffVaw0dzznIbh","2021-08-23 19:01:52","2021-08-23 19:03:46","2021-08-23 19:03:46","","FQZxCw4glWxSgk3G_bnfJQ**","9024","2250","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","1","Tax Credit","$4,500","Time of Sale","","Tax Deduction","$7,500","Rebate","$2,500","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$2,000","Rebate","$1,000","2 weeks after purchase","Dealer","Sales Tax Exemption","0.75","Tax Credit","$4,000","Time of Sale","","Tax Deduction","$1,500","Rebate","$3,000","Time of Sale","Dealer","Sales Tax Exemption","0.5","Tax Credit","$2,000","Time of Sale","","Tax Deduction","$3,000","Rebate","$7,000","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$2,000","Time of Sale","","Tax Deduction","$1,500","Rebate","$1,000","Time of Sale","Government","Sales Tax Exemption","0.75","Tax Credit","$4,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$7,500","Rebate","$6,000","Time of Sale","Dealer","Sales Tax Exemption","0.5","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$5,500","Rebate","$4,500","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$1,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,000","Rebate","$2,000","2 weeks after purchase","Government","Sales Tax Exemption","0.75","Tax Credit","$4,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$4,500","Rebate","$7,000","Time of Sale","Dealer","Sales Tax Exemption","0.75","Tax Credit","$6,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$4,500","Rebate","$3,000","6 weeks after purchase","Dealer","2,200","2,200","1,700","1,100","2,200","1,700","1,100","2,200","1,700","1,700","2021-08-23 19:01:57","3","2021-08-23 19:02:17","1","2021-08-23 19:02:30","2","2021-08-23 19:02:40","4","2021-08-23 19:02:52","1","2021-08-23 19:03:05","4","2021-08-23 19:03:12","3","2021-08-23 19:03:21","1","2021-08-23 19:03:30","4","2021-08-23 19:03:37","2","2021-08-23 19:03:46","Array","0"
"WHaqW-TnjFeQ1RrMQMhyyMvhTOyGyITiQ0VZF5lYeDiXeN9YPxUZZlHsxHm2Q8gD","2021-08-23 19:02:04","2021-08-23 19:03:31","2021-08-23 19:03:31","","FQZxCw4glWznqhuk2ENBhA**","6482","750","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","1","Tax Credit","$5,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$4,000","Rebate","$5,500","Time of Sale","Government","Sales Tax Exemption","1","Tax Credit","$2,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$2,000","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","0.5","Tax Credit","$4,000","Time of Sale","","Tax Deduction","$6,000","Rebate","$2,500","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$6,500","Time of Sale","","Tax Deduction","$2,500","Rebate","$7,500","Time of Sale","Dealer","Sales Tax Exemption","1","Tax Credit","$1,500","Time of Sale","","Tax Deduction","$2,000","Rebate","$2,000","6 weeks after purchase","Dealer","Sales Tax Exemption","0.75","Tax Credit","$2,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$8,000","Rebate","$3,000","Time of Sale","Government","Sales Tax Exemption","1","Tax Credit","$3,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$4,000","Rebate","$8,000","2 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$2,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$2,000","6 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$3,000","Time of Sale","","Tax Deduction","$2,500","Rebate","$3,500","6 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$1,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$6,500","Rebate","$1,000","6 weeks after purchase","Dealer","800","800","400","800","800","600","800","800","400","400","2021-08-23 19:02:09","4","2021-08-23 19:02:32","4","2021-08-23 19:02:42","4","2021-08-23 19:02:51","4","2021-08-23 19:02:58","4","2021-08-23 19:03:04","4","2021-08-23 19:03:10","4","2021-08-23 19:03:15","4","2021-08-23 19:03:20","4","2021-08-23 19:03:26","4","2021-08-23 19:03:31","Array","1"
"bAbzyDjW6-lbGJ1a3uZvGdsrCiIbMq0idGaC_Ihh_TdCrgmO4Z4Pup3ctdutfYP3","2021-08-23 19:03:07","2021-08-23 19:05:47","2021-08-23 19:05:47","","FQZxCw4glWzA_meB6Hdq3A**","7326","2250","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","1","Tax Credit","$4,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$5,000","Rebate","$7,000","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$1,500","Time of Sale","","Tax Deduction","$1,500","Rebate","$1,500","6 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$7,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$4,500","Rebate","$5,000","6 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$7,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$7,000","Rebate","$6,000","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$1,500","Time of Sale","","Tax Deduction","$1,000","Rebate","$2,000","2 weeks after purchase","Government","Sales Tax Exemption","0.75","Tax Credit","$4,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$6,500","Rebate","$1,500","Time of Sale","Government","Sales Tax Exemption","0.5","Tax Credit","$6,000","Time of Sale","","Tax Deduction","$4,500","Rebate","$3,000","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$2,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,000","Rebate","$1,500","6 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$3,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$5,000","Rebate","$4,500","6 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$6,500","Time of Sale","","Tax Deduction","$4,000","Rebate","$7,500","6 weeks after purchase","Auto Manufacturer","2,200","2,200","2,200","1,100","2,200","1,700","1,100","2,200","2,200","1,100","2021-08-23 19:03:14","4","2021-08-23 19:03:38","1","2021-08-23 19:03:54","2","2021-08-23 19:04:09","3","2021-08-23 19:04:44","1","2021-08-23 19:04:56","3","2021-08-23 19:05:12","2","2021-08-23 19:05:23","1","2021-08-23 19:05:33","3","2021-08-23 19:05:40","4","2021-08-23 19:05:47","Array","0"
"2bXej0byq3SDuwsH3nPNNf0tt0G6QwVeIik9bmzT1og3cV551QGSuiOL-7GLp5lz","2021-08-23 19:03:30","2021-08-23 19:07:03","2021-08-23 19:07:03","","FQZxCw4glWyaRTWP9DIw5w**","3559","1500","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","1","Tax Credit","$5,000","Time of Sale","","Tax Deduction","$8,000","Rebate","$5,500","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$2,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$2,000","Rebate","$1,000","Time of Sale","Dealer","Sales Tax Exemption","0.5","Tax Credit","$5,500","Time of Sale","","Tax Deduction","$6,000","Rebate","$4,000","Time of Sale","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$5,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$4,500","Rebate","$3,500","Time of Sale","Dealer","Sales Tax Exemption","1","Tax Credit","$1,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$2,000","6 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$3,500","Time of Sale","","Tax Deduction","$5,000","Rebate","$5,000","6 weeks after purchase","Government","Sales Tax Exemption","0.5","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$3,000","Rebate","$2,000","6 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$1,500","Rebate","$2,000","2 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$4,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$7,500","Rebate","$7,500","6 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$6,500","Time of Sale","","Tax Deduction","$3,500","Rebate","$7,500","2 weeks after purchase","Dealer","1,500","1,500","800","1,500","1,500","800","800","1,500","800","1,500","2021-08-23 19:03:34","4","2021-08-23 19:03:57","1","2021-08-23 19:04:15","4","2021-08-23 19:04:27","4","2021-08-23 19:04:36","4","2021-08-23 19:04:46","4","2021-08-23 19:06:18","4","2021-08-23 19:06:31","4","2021-08-23 19:06:39","4","2021-08-23 19:06:50","4","2021-08-23 19:07:03","Array","0"
"dTCKzb5wy6GeOVHktaJfd1XfrPrEDcPByeSYOj2gQbr3IAyLldXnI3N9PgDh32yR","2021-08-23 19:03:59","2021-08-23 19:05:01","2021-08-23 19:05:02","","FQZxCw4glWxtejs5WFS_UQ**","4988","750","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","0.75","Tax Credit","$4,500","Time of Sale","","Tax Deduction","$7,000","Rebate","$6,000","6 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$1,000","Rebate","$2,000","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$2,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$6,500","Rebate","$8,000","Time of Sale","Dealer","Sales Tax Exemption","0.5","Tax Credit","$5,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$2,500","2 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$2,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$2,000","Rebate","$1,000","6 weeks after purchase","Dealer","Sales Tax Exemption","0.75","Tax Credit","$1,500","Time of Sale","","Tax Deduction","$7,000","Rebate","$5,500","2 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$5,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$4,500","Rebate","$5,500","6 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$1,500","Time of Sale","","Tax Deduction","$1,500","Rebate","$1,000","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$3,000","Time of Sale","","Tax Deduction","$7,500","Rebate","$2,000","2 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$7,500","Time of Sale","","Tax Deduction","$1,500","Rebate","$4,000","2 weeks after purchase","Auto Manufacturer","600","800","800","400","800","600","400","800","800","800","2021-08-23 19:04:04","3","2021-08-23 19:04:17","3","2021-08-23 19:04:22","4","2021-08-23 19:04:27","4","2021-08-23 19:04:33","4","2021-08-23 19:04:37","4","2021-08-23 19:04:41","2","2021-08-23 19:04:47","4","2021-08-23 19:04:51","3","2021-08-23 19:04:56","2","2021-08-23 19:05:01","Array","0"
"XHQf5JMTLlyAHCPcm43pDVdUhPCPXb7vdblDClcYZPDHLRY1m_wjYB3B84ALB1g6","2021-08-23 19:04:43","2021-08-23 19:06:23","2021-08-23 19:06:23","","FQZxCw4glWxUUj28_qxWjQ**","8638","2250","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","0.5","Tax Credit","$7,500","Time of Sale","","Tax Deduction","$2,500","Rebate","$7,000","6 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$1,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,000","Rebate","$2,000","Time of Sale","Government","Sales Tax Exemption","0.75","Tax Credit","$5,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$7,500","Rebate","$5,500","2 weeks after purchase","Government","Sales Tax Exemption","0.5","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$2,500","Rebate","$4,500","Time of Sale","Dealer","Sales Tax Exemption","1","Tax Credit","$1,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$1,500","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","0.5","Tax Credit","$5,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$6,000","Rebate","$1,000","6 weeks after purchase","Government","Sales Tax Exemption","0.75","Tax Credit","$7,500","Time of Sale","","Tax Deduction","$6,500","Rebate","$5,500","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$2,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,000","Rebate","$1,000","6 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$3,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$2,000","Rebate","$3,000","6 weeks after purchase","Government","Sales Tax Exemption","0.5","Tax Credit","$3,000","Time of Sale","","Tax Deduction","$4,500","Rebate","$1,500","Time of Sale","Auto Manufacturer","1,100","2,200","1,700","1,100","2,200","1,100","1,700","2,200","2,200","1,100","2021-08-23 19:04:48","2","2021-08-23 19:05:04","1","2021-08-23 19:05:14","4","2021-08-23 19:05:23","4","2021-08-23 19:05:28","1","2021-08-23 19:05:36","2","2021-08-23 19:05:47","4","2021-08-23 19:05:59","1","2021-08-23 19:06:08","4","2021-08-23 19:06:16","2","2021-08-23 19:06:23","Array","0"
"xLXBEeLi_hklYncp_7PIugfmUKgNTnS6FV3BQImU3ZSIV-KSzMOOLqF6Tgv7efUn","2021-08-23 19:05:00","2021-08-23 19:06:27","2021-08-23 19:06:27","","FQZxCw4glWy6acgT5bNy2g**","3468","3750","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","0.75","Tax Credit","$2,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$4,500","Rebate","$2,500","2 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$2,000","Time of Sale","","Tax Deduction","$1,500","Rebate","$2,000","Time of Sale","Government","Sales Tax Exemption","1","Tax Credit","$1,500","Time of Sale","","Tax Deduction","$1,000","Rebate","$6,500","2 weeks after purchase","Dealer","Sales Tax Exemption","0.5","Tax Credit","$5,500","Time of Sale","","Tax Deduction","$4,000","Rebate","$7,500","Time of Sale","Government","Sales Tax Exemption","1","Tax Credit","$1,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,500","Rebate","$1,500","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$5,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$6,500","Rebate","$3,000","Time of Sale","Dealer","Sales Tax Exemption","1","Tax Credit","$3,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$7,000","Rebate","$8,000","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$1,500","At Tax Filing","(approx. April 2022)","Tax Deduction","$1,000","Rebate","$2,000","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$7,000","Time of Sale","","Tax Deduction","$6,500","Rebate","$6,000","2 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$5,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$5,500","Rebate","$6,000","Time of Sale","Government","2,800","3,800","3,800","1,900","3,800","3,800","3,800","3,800","3,800","3,800","2021-08-23 19:05:05","3","2021-08-23 19:05:13","3","2021-08-23 19:05:18","2","2021-08-23 19:06:04","2","2021-08-23 19:06:08","2","2021-08-23 19:06:10","2","2021-08-23 19:06:14","4","2021-08-23 19:06:17","4","2021-08-23 19:06:20","1","2021-08-23 19:06:23","3","2021-08-23 19:06:27","Array","0"
"dBOpq6xagquBmAaQCwTTFT90sDXJtWmee-qsWVBL3Xzu2ayOnKOEfUlu10GVovmW","2021-08-23 19:05:18","2021-08-23 19:07:45","2021-08-23 19:07:45","","FQZxCw4glWwF_yoc_b4ceA**","7001","3750","https://raw.githubusercontent.com/lar1223/Vehicle_Incentive_Survey/main/survey.csv","Array","https://lar1223.github.io/Vehicle_Incentive_Survey/tabs/SalesTax","Sales Tax Exemption","0.75","Tax Credit","$4,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$4,000","Rebate","$5,000","6 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$1,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$2,000","Rebate","$1,500","Time of Sale","Dealer","Sales Tax Exemption","0.75","Tax Credit","$4,500","Time of Sale","","Tax Deduction","$7,500","Rebate","$3,500","6 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$2,500","Time of Sale","","Tax Deduction","$6,500","Rebate","$5,500","2 weeks after purchase","Government","Sales Tax Exemption","1","Tax Credit","$2,000","Time of Sale","","Tax Deduction","$1,500","Rebate","$2,000","Time of Sale","Government","Sales Tax Exemption","0.5","Tax Credit","$2,500","Time of Sale","","Tax Deduction","$3,500","Rebate","$3,000","2 weeks after purchase","Auto Manufacturer","Sales Tax Exemption","1","Tax Credit","$4,500","Time of Sale","","Tax Deduction","$3,000","Rebate","$5,500","6 weeks after purchase","Dealer","Sales Tax Exemption","1","Tax Credit","$1,000","Time of Sale","","Tax Deduction","$2,000","Rebate","$1,000","2 weeks after purchase","Dealer","Sales Tax Exemption","0.75","Tax Credit","$7,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$4,500","Rebate","$4,000","Time of Sale","Dealer","Sales Tax Exemption","0.75","Tax Credit","$5,000","At Tax Filing","(approx. April 2022)","Tax Deduction","$3,000","Rebate","$4,000","2 weeks after purchase","Auto Manufacturer","2,800","3,800","2,800","3,800","3,800","1,900","3,800","3,800","2,800","2,800","2021-08-23 19:05:24","4","2021-08-23 19:05:53","1","2021-08-23 19:06:11","3","2021-08-23 19:06:23","3","2021-08-23 19:06:31","1","2021-08-23 19:06:57","3","2021-08-23 19:07:04","4","2021-08-23 19:07:14","1","2021-08-23 19:07:24","2","2021-08-23 19:07:33","2","2021-08-23 19:07:45","Array","0"
